Egység neve,Faj,Szükséges GyP,T,V,ÉP,K,TE,Zsold/kör (Arany),Képzési idő (kör),Sorozás Arany,Sorozás Mana,Sorozás Fa,Sorozás Kő,Sorozás Fém,Sorozás Gabona,Fenntartás Mana,Fenntartás Gabona,Leírás
Agyszívó,Sötételf,100000,10,9,55,3,25.48,126,14,1260,1,0,0,0,0,2,0.1,"Az agyszívók mutáns lények, mások agyvelejével táplálkoznak. Innen ered a nevük. Sötételfek oldalán, mint szövetségesek harcolnak, speciális mágiájukkal elkábítják ellenfeleiket, majd kiszippantják agyukat."
Amazon,Elf,50000,5,7,50,2,12,60,12,600,0,0,0,0,0,0.2,0.1,"Az amazonok eredetét teljes homály fedi. Féltékenyen őrzik saját területeiket, így még fajukat sem sikerült biztonsággal meghatározni. Akárhogyis, az elfeket barátjuknak tekintik, és ha kérik, sereget küldenek megsegítésükre. Az elfek pedig nagyon értékelik az íjas-lándzsás amazonok harci képességeit."
Angyal,Ember,100000,10,9,95,2,36.1,171,14,1710,0,0,0,0,0,2,0,"Bár a bölcsek véleménye megoszlik vajon hogyan is kellene nevezni ezeket a lényeket, az emberek többsége számára az angyal név teljesen megfelelő. Akárha a legendákból léptek volna elő ezek a meseszép szárnyas emberszerű lények. Nem véletlen, hogy a töbség véleménye szerint Anamúr küldte őket az emberek megsegítésére. Villámokat szóró kardjaik mindenesetre igen hatásosak, Choor szolgái félik is őket."
Bányász,Törpe,0,1,1,10,1,0.4,1,3,50,0,0,0,0,0,0,0.1,"Minden törpe alapéletmódja a bányászkodás. S ha harcra kerül a sor, a csákány jó fegyvernek is, és a bányákban edzett izmok jól forgatják azt."
Baziliszkusz,Sötételf,50000,7,4,60,1,8.8,54,12,540,0,0,0,0,0,0,0.5,"A baziliszkuszokról egy dolgot kell tudni: kerüld el őket! E szörny egyetlen pillantásával képes kővé dermeszteni áldozatát. Habár lassú és védtelen, ezen képessége életveszélyessé teszi."
Csapatvezér,Törpe,25000,3,3,25,2,3.17,15,10,150,0,0,0,0,0,0,0.2,"A törpék azon harcosai, melyek kiemelkedően teljesítettek, parancsnoki pozícióba lépnek elő. A csapatvezéreknek még jobb fegyverek és páncélok járnak, mint a köztörpéknek."
Csontváz,Élőholt,0,1,2,5,1,0.23,1,3,50,0,0,0,0,0,0,0,"A csontvázakat a csatában elhulott testekből készítik Choor élőhalott szolgái, így folyamatos az utánpótlás a csatában elpusztultak helyére. Fegyver nekik nem kell, lévén csontjaikat a mágia még keményebbé teszi, s csapásaik fájdalmát ők nem érzik, bármily kemény páncélzat is állja útjukat."
Csontváz Katapult,Élőholt,0,5,1,10,2,1.2,6,5,80,0,0,2,0,0,0,0,"A Csontváz Katapult ugyanolyan, mint bármely normál katapult egy apró kivételtől eltekintve: hatalmas csontokból készül és az élőhalott mágia tartja össze."
Csontvázharcos,Élőholt,0,3,4,15,1,1.55,8,6,100,0,0,0,1,0,0,0,"A csontvázharcosok már némi páncélzatot és fegyvereket kapnak, hogy a csatában uraikat védelmezzék. A élőhalott urak nem bíznak másban mint ezekben az értelem nélküli lényekben, hiszen náluk nem forog fenn az árulás kockázata."
Csontvázíjász,Élőholt,0,1,3,10,2,0.8,4,4,60,0,1,0,0,0,0,0,"Valamely ismeretlen formula alapján az élőhalott mágusok a csontvázak egy részének felszerelést is adnak, s mágiájukkal tudást is a használatukhoz. A csontváz íjászok megfelelő szakértelemmel kezelik íjukat, így veszélyt jelentenek bárkire, s nekik sok félnivalójuk nincs az íjászoktól, lévén a nyílvessző elsuhan bordáik közt."
